champ_name,top,jungle,mid,adc,support,build,runes
aatrox,"[['Urgot', 'Kennen', 'Warwick', 'Aurora', 'Poppy', 'Kayle', 'Singed', 'Quinn', 'Zed', 'Cassiopeia'], [""K'Sante"", 'Smolder', 'Gnar', 'Gangplank', 'Dr. Mundo', 'Sion', 'Akali', 'Teemo', 'Zac', 'Sylas', 'Trundle', 'Varus', 'Ryze', 'Heimerdinger'], ['Renekton', 'Nasus', 'Yone', 'Mordekaiser', 'Sett', 'Volibear', 'Jax', 'Irelia', 'Gwen', 'Illaoi', 'Yorick', 'Gragas', 'Kled', 'Rumble', 'Yasuo', 'Tahm Kench', 'Shen', 'Udyr']]",,,,,"['Eclipse', 'Profane Hydra', ""Serylda's Grudge""]",
ahri,,,"[['Vex', 'Twisted Fate', 'Fizz', 'Viktor', 'Zoe', 'Ryze', 'Irelia', 'Qiyana', 'Ekko', 'Naafiri', 'Cassiopeia', 'Akshan', 'Annie', 'Varus', 'Neeko', 'Swain', 'Renekton'], ['Hwei', 'Smolder', 'Akali', 'Xerath', 'Galio', 'Malzahar', 'Veigar', 'Azir', 'Nasus', 'Aurelion Sol', 'Corki', 'Ziggs', 'Lucian', ""Vel'Koz"", 'Jayce', 'Pantheon', 'Kennen', 'Rumble', 'Kayle'], ['Yone', 'Zed', 'LeBlanc', 'Yasuo', 'Orianna', 'Lux', 'Talon', 'Diana', 'Anivia', 'Taliyah', 'Brand', 'Tristana', 'Garen', 'Zeri', 'Quinn', 'Nunu & Willump', 'Malphite']]",,,"['Malignance', 'Horizon Focus', ""Zhonya's Hourglass""]",
akali,"[['Aatrox', 'Nasus', 'Garen', 'Renekton', 'Darius', 'Jax', 'Camille', 'Sett', 'Jayce', 'Irelia', 'Tryndamere', 'Ornn', 'Illaoi', 'Vladimir', 'Kennen', 'Gnar', 'Dr. Mundo', 'Aurora', 'Gragas', 'Sion', 'Rumble', 'Urgot', ""Cho'Gath"", 'Kayle', 'Tahm Kench', 'Warwick', 'Ryze', 'Singed', 'Zac', 'Vayne', 'Cassiopeia'], ['Smolder', 'Gwen', 'Malphite', 'Olaf', 'Yorick', 'Kled', 'Poppy', 'Varus', 'Quinn', 'Trundle', 'Udyr'], ['Yone', 'Mordekaiser', ""K'Sante"", 'Teemo', 'Shen', 'Yasuo', 'Zed', 'Heimerdinger']]",,,,,"['Lich Bane', 'Shadowflame', ""Zhonya's Hourglass""]",
akali,,,"[['Lissandra', 'Ahri', 'Galio', 'Vex', 'Talon', 'Twisted Fate', 'Diana', 'Qiyana', 'Veigar', 'Garen', 'Taliyah', 'Brand', 'Pantheon', ""Vel'Koz"", 'Swain', 'Neeko', 'Rumble'], ['Yone', 'Smolder', 'Orianna', 'Irelia', 'Nasus', 'Viktor', 'Aurelion Sol', 'Xerath', 'Kassadin', 'Ekko', 'Akshan', 'Corki', 'Ziggs', 'Lucian', 'Tristana', 'Annie', 'Zeri', 'Gragas', 'Kennen', 'Malphite', 'Renekton'], ['Yasuo', 'Zed', 'Katarina', 'LeBlanc', 'Syndra', 'Vladimir', 'Malzahar', 'Ryze', 'Azir', 'Fizz', 'Zoe', 'Anivia', 'Naafiri', 'Cassiopeia', 'Varus', 'Jayce', 'Nunu & Willump']]",,,"['Lich Bane', 'Shadowflame', ""Zhonya's Hourglass""]",
akshan,,,"[['Sylas', 'Aurora', 'Akali', 'Lux', 'Twisted Fate', 'Vex', 'Veigar', 'Galio', 'Azir', 'Nasus', 'Irelia', 'Fizz', 'Anivia', 'Taliyah', 'Cassiopeia', 'Varus', 'Garen', 'Brand', 'Jayce', 'Quinn'], ['Zed', 'Yone', 'Smolder', 'Ahri', 'Malzahar', 'Diana', 'Viktor', 'Talon', 'Zoe', 'Corki', 'Qiyana', 'Ziggs', 'Lucian', 'Ekko', 'Tristana', 'Kassadin', 'Annie', 'Malphite', 'Zeri'], ['LeBlanc', 'Hwei', 'Katarina', 'Lissandra', 'Orianna', 'Vladimir', 'Ryze', 'Aurelion Sol', 'Naafiri', 'Pantheon']]",,,"['Kraken Slayer', 'The Collector', 'Infinity Edge']",
akshan,"[['Nasus', 'Gangplank', 'Sett', 'Yone', 'Renekton', 'Darius', 'Dr. Mundo', 'Aurora', 'Riven'], ['Garen', 'Camille', 'Smolder', 'Vladimir', 'Fiora', 'Irelia', 'Ornn', 'Jax'], ['Aatrox', 'Malphite', 'Jayce']]",,,,,"['Kraken Slayer', 'The Collector', 'Infinity Edge']",
alistar,,,,,"[['Rell', 'Senna', 'Pyke', 'Nami', 'Lulu', 'Poppy', 'Lux', 'Janna', 'Milio', 'Bard', 'Xerath', 'Soraka', 'Zyra', 'Brand', 'Sona', 'Swain', 'Shaco', 'Hwei', 'Camille', 'Fiddlesticks', 'LeBlanc', 'Zoe'], ['Yuumi', 'Maokai', 'Zilean', 'Zac', 'Amumu', 'Shen', 'Ashe'], ['Leona', 'Nautilus', 'Blitzcrank', 'Braum', 'Neeko']]","['Locket of the Iron Solari', ""Knight's Vow"", ""Zeke's Convergence""]",
amumu,,"[['Kayn', 'Morgana', 'Poppy'], ['Lee Sin', 'Viego', 'Jarvan IV', 'Graves', 'Diana', 'Udyr', 'Vi', 'Ekko', 'Kindred', 'Briar', 'Master Yi', 'Zac', 'Nidalee', 'Sejuani', 'Fiddlesticks', 'Warwick', 'Sylas', 'Nunu & Willump', 'Rengar', 'Wukong', ""Bel'Veth"", 'Gragas', 'Karthus', 'Skarner', 'Elise', 'Rammus', 'Jax'], [""Kha'Zix"", 'Shyvana', 'Volibear', 'Brand', 'Xin Zhao', 'Evelynn', 'Gwen', 'Zed', 'Talon', 'Maokai', 'Qiyana', 'Zyra']]",,,,"[""Liandry's Torment"", 'Sunfire Aegis', 'Abyssal Mask']",
amumu,,,,,"[['Thresh', 'Alistar', 'Blitzcrank', 'Rakan', 'Poppy', 'Soraka', 'Maokai'], ['Senna', 'Nami', 'Nautilus', 'Braum', 'Lulu', 'Rell', 'Milio', 'Lux', 'Bard', 'Morgana', 'Janna', 'Zyra', 'Zilean', ""Vel'Koz"", 'Renata Glasc', 'Pantheon', 'Taric', 'Brand'], ['Leona', 'Karma', 'Yuumi', 'Xerath']]","['Locket of the Iron Solari', 'Abyssal Mask', 'Thornmail']",
anivia,,,"[['Aurora', 'Aurelion Sol', 'Fizz', 'Taliyah', 'Zoe', 'Naafiri', ""Vel'Koz"", 'Varus'], ['Zed', 'Yone', 'Yasuo', 'Smolder', 'Lissandra', 'Orianna', 'Vladimir', 'Viktor', 'Vex', 'Twisted Fate', 'Ryze', 'Nasus', 'Diana', 'Ziggs', 'Kassadin', 'Corki', 'Qiyana', 'Akshan', 'Cassiopeia', 'Garen', 'Lucian', 'Tristana', 'Zeri', 'Quinn', 'Nunu & Willump'], ['Hwei', 'Sylas', 'Syndra', 'Katarina', 'LeBlanc', 'Ahri', 'Lux', 'Xerath', 'Malzahar', 'Veigar', 'Azir', 'Galio', 'Irelia', 'Jayce', 'Gragas']]",,,"['Tear of the Goddess', 'Rod of Ages', ""Seraph's Embrace"", ""Liandry's Torment""]",
